marca,codigo_api,codigo_duplicado
Acura,2,
Alfa romeo,3,
Aston martin,7,
Audi,8,
Austin,9,
Baic,277,
Bentley,269,
Bmw,12,
Brilliance,260,
Buick,13,
Byd,14,
Cadillac,15,
Changan,16,
Chery,17,
Chevrolet,18,
Chrysler,19,
Citroën,20,
Cupra,312,
Daewoo,23,
Daihatsu,24,
Dfm,288,
Dfsk,287,SI
Dfsk,DFS,SI
Dodge,26,
Dongfeng,27,
Exeed,96,
Faw,275,
Ferrari,29,
Fiat,30,
Ford,31,
Foton,32,
Gac,273,
Geely,34,
Gmc,33,
Great wall,35,
Hafei,36,
Haima,37,
Haval,290,
Hino,296,
Honda,21,SI
Honda,39,SI
Hyundai,10,SI
Hyundai,40,SI
Infiniti,189,
International,41,
Isuzu,42,
Iveco,280,
Jac,43,
Jaecoo,322,
Jaguar,44,
Jeep,45,
Jetour,311,
Jim,83,
Jinbei,266,
Jmc,46,
Kaiyi,98,
Karry,310,
Kia,47,
Kyc,305,
Lada,48,
Land rover,50,
Leapmotor,324,SI
Leapmotor,LPM,SI
Lexus,51,
Lifan,52,SI
Lifan,65,SI
Lotus,54,
Mahindra,55,
Maple,320,
Maserati,56,
Maxus,283,
Mazda,25,SI
Mazda,57,SI
Mercedes benz,28,SI
Mercedes benz,58,SI
Mg,60,
Mini,53,SI
Mini,61,SI
Mitsubishi,62,
Morini,MOR,
Nissan,64,
Omoda,321,
Opel,38,SI
Opel,67,SI
Peugeot,68,
Pontiac,71,
Porsche,22,SI
Porsche,72,SI
Proton,73,
Ram,304,SI
Ram,59,SI
Renault,75,
Rover,76,
Saab,77,
Samsung,79,
Seat,80,
Shineray,101,SI
Shineray,SHI,SI
Skoda,82,
Smart,188,
Soueast,298,
Ssangyong,84,
Subaru,85,
Suzuki,86,
Swm,297,
Tata,87,
Tesla,323,SI
Tesla,TE,SI
Toyota,88,
Uaz,313,SI
Uaz,316,SI
Volkswagen,89,
Volvo,90,
Zna,272,
Zotye,94,
Zx autos,95,
