sucursal,codigo_api
Autopark Departamental 4500,728
Carshopping A. Vespucio 2451,735
Cerrillos Pedro A. Cerda 6697,719
Chillan Av Brasil 80,746
Chillan Ecuador 768,137
Chillán Ecuador 330,132
Clínica J. Alessandri R. 2121,160
Concepcion C. Colon 8961,9015
Concepcion J. Alessandri R. 1885,117U
Concepcion Paicaví 2592,102
La Dehesa J. A. Delano 11021,9010
La Florida Vicuña Mackenna 8603,9019
Las Animas P. A. Cerda 410,842
Las Reina Av. Fco. Bilbao 5593,9008
Linares Leon Bustos 0239,162
Los Angeles Av. Alemania 410,9003
Los Angeles Industrias 7730,146
Los Cobres Vitacura 6875,892
Maipú Av. Pajaritos 2557,9031
Movicenter A. Vespucio 1155,707
Osorno Andres Bello 663,9022
Osorno Juan Mackenna 1659,9024
Puerto Montt Benavente 753,9030
Puerto Montt Regimiento 861,9027
Puerto Montt Serrano 328,9012
San Bdo. Av. Portales 3698,9028
San Felipe Chacabuco 109,701U
San Felipe Chacabuco 255,9016
San Miguel Gran Av. José Miguel Carrera 6197,9006
Talca 11 Oriente 1180,165
Talca San Miguel 2790,167
Temuco Alemania 501,185
Temuco Caupolicán 693,9011
Temuco Hochstetter 976,190
Temuco Tolosa Caupolicán 1490,180
Valdivia Av. R Picarte 2240,194
Vega 21 de Mayo 3225,114
Vitacura 5555,9004
Vitacura Padre Hurtado Nte 1246,9005
Vitacura Vitacura 7649,767
Viña del Mar Limache 3677,9002
